IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_DANVILLE,THICK_DANVILLE,TOP_HERRIN,THICK_HERRIN,TOP_SPRING,THICK_SPRING,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY
02301494000C,CLARK,-87.618313,39.367168,499,Oil and Gas Test,Electric Log,221,2.5,97,2.5,70,2.5,-73,,,
02301501000C,CLARK,-87.981593,39.351215,657,Oil and Gas Test,Electric Log,557,2.5,474,3,455,4,367,,319,2.5
02301532000C,CLARK,-87.766706,39.250844,598,Oil and Gas Test,Nuclear Log,46,2.5,-27,1.5,-72,,-202,,-239,6
02302026000C,CLARK,-87.717731,39.242197,517,Oil and Gas Test,Electric Log,12,4,-41,1.5,-85,4,-219,,-276,6.5
02302030000C,CLARK,-87.634657,39.296324,488,Oil and Gas Test,Electric Log,138,3.5,38,,7,3.5,-132,,,
02302031000C,CLARK,-87.636908,39.316334,499,Oil and Gas Test,Electric Log,164,3,49,,24,3.5,-111,,-156,
02302041000C,CLARK,-87.921237,39.307976,614,Oil and Gas Test,Electric Log,439,3.5,390,2,368,5,264,,238,3.5
02302045000C,CLARK,-87.988072,39.380098,659,Oil and Gas Test,Electric Log,,,525,2,,,436,,,
02302048000C,CLARK,-87.564902,39.439678,568,Oil and Gas Test,Electric Log,352,2,228,2,212,1.5,58,,,
02302053000C,CLARK,-87.917373,39.285977,554,Oil and Gas Test,Electric Log,414,2.5,374,1.5,350,2,250,,220,2.5
02302056000C,CLARK,-88.004881,39.198476,594,Oil and Gas Test,Electric Log,214,2,170,3,131,2.5,11,,-23,
02302065000C,CLARK,-87.911827,39.304329,607,Oil and Gas Test,Electric Log,416,3,369,2,345,2,243,,211,2
02302066000C,CLARK,-87.993297,39.463577,716,Oil and Gas Test,Electric Log,542,,416,,399,,313,,296,2.5
02302249000C,CLARK,-87.91161,39.297244,595,Oil and Gas Test,Nuclear Log,405,4,359,2.5,334,3,237,,,
02302371000C,CLARK,-87.927514,39.313994,608,Oil and Gas Test,Nuclear Log,445,3,390,2.5,368,3,269,,248,2
02302802000C,CLARK,-87.970489,39.390496,662,Oil and Gas Test,Nuclear Log,,,506,3,493,,393,,,
02302837000C,CLARK,-87.932281,39.353635,643,Oil and Gas Test,Electric Log,463,2,395,2,373,1.5,,,,
02302908000C,CLARK,-87.88871,39.233028,585,Oil and Gas Test,Nuclear Log,357,4,314.5,3,280,2,167,,,
02302930000C,CLARK,-87.824673,39.287684,605,Oil and Gas Test,Nuclear Log,27,2.5,-25,2.5,-62,3,-171,,-239,2.5
02302932000C,CLARK,-87.806211,39.369209,640,Oil and Gas Test,Nuclear Log,104,4,7,3,-17,3,-134,,-158,4
02302944000C,CLARK,-87.888601,39.286255,601.5,Producer-Oil and Gas,Electric Log,446.5,0,406.5,3,381.5,4,,,238.5,4
02302984000C,CLARK,-87.606953,39.423161,567,Oil and Gas Test,Electric Log,229,3,,,84,3,-66,,,
02302990000C,CLARK,-87.534901,39.447141,494.3,Coal Test,Drillers Log,429.3,3.5,310.9,1.8,291,4.1,138.8,0.8,102.3,5.2
02302992000C,CLARK,-87.991106,39.360146,663,Oil and Gas Test,Electric Log,563,,466,1.5,443,2,363,,,
02302996000C,CLARK,-87.886505,39.2349,592,Oil and Gas Test,Electric Log,,,330,2,268,,,,87,3
02303040000C,CLARK,-88.001805,39.4033,660,Oil and Gas Test,Nuclear Log,,,551,2.5,529,,461,,,
02303070000C,CLARK,-87.916528,39.307998,606,Oil and Gas Test,Electric Log,421,,372,,351,4,247,,222,3
02303071000C,CLARK,-87.935409,39.248376,599,Oil and Gas Test,Nuclear Log,411,2.5,374,2,345,2,234,,209,2
02303078000C,CLARK,-87.937983,39.249161,619,Producer-Oil and Gas,Electric Log,399,,362,,334,,219,,190,
02303080000C,CLARK,-87.932881,39.251879,583,Oil and Gas Test,Nuclear Log,406,3,366,2,338,2,232,,210,3.5
02303125000C,CLARK,-87.628634,39.343771,546,Oil and Gas Test,Electric Log,168,2.5,,,,,,,,
02303126000C,CLARK,-87.647577,39.346187,551,Oil and Gas Test,Electric Log,166,3,,,,,,,,
02303127000C,CLARK,-87.647337,39.329984,547,Oil and Gas Test,Electric Log,153,2,,,,,,,,
02303138000C,CLARK,-87.629926,39.350849,544,Oil and Gas Test,Electric Log,184,3,64,,34,3.5,,,-153,5.5
02303152000C,CLARK,-88.000965,39.381732,661,Oil and Gas Test,Electric Log,,,526,2,503,3,435,,388,1.5
02303170000C,CLARK,-87.799424,39.297232,612,Oil and Gas Test,Electric Log,48,4,-11,,-48,3.5,-191,,,
02303172000C,CLARK,-88.006681,39.377217,656,Oil and Gas Test,Electric Log,,,468,1.5,,,375,,336,1
02303173000C,CLARK,-87.909175,39.374063,643,Oil and Gas Test,Electric Log,418,2,342,1.5,325,3,242,,,
02303196000C,CLARK,-87.962509,39.231378,606,Oil and Gas Test,Electric Log,209,2.5,164,,128,,0,,-36,3.5
02303197000C,CLARK,-87.852347,39.294817,623,Oil and Gas Test,Electric Log,113,2,60,1.5,32,3,-64,,-133,3
02303199000C,CLARK,-87.879107,39.219867,578,Oil and Gas Test,Electric Log,163,2.5,126,2,75,2,-60,,-116,3
02303218000C,CLARK,-87.909795,39.23864,597,Producer-Oil and Gas,Electric Log,,,366,,333,,221,,197.5,
02303263000C,CLARK,-87.656849,39.393354,583,Oil and Gas Test,Electric Log,200,2,,,,,,,,
02303264000C,CLARK,-87.637441,39.378678,560,Oil and Gas Test,Electric Log,217,2.5,,,,,,,,
02303265000C,CLARK,-87.619657,39.375178,471,Oil and Gas Test,Electric Log,205,2,,,,,,,,
02303266000C,CLARK,-87.596254,39.378311,546,Oil and Gas Test,Electric Log,233,2,,,,,,,,
02303277000C,CLARK,-87.608235,39.368519,535,Oil and Gas Test,Electric Log,213,2,,,,,,,,
02303278000C,CLARK,-87.628122,39.361069,555,Oil and Gas Test,Electric Log,206,2.5,,,53,3.5,,,,
02303279000C,CLARK,-87.647581,39.361044,563,Oil and Gas Test,Electric Log,207,2,,,,,,,,
02303512000C,CLARK,-87.957335,39.179415,576,Oil and Gas Test,Electric Log,220,1.5,184,2,142,2,,,,
02303587000C,CLARK,-87.938281,39.175948,527,Oil and Gas Test,Electric Log,343,2,303,1.5,259,2,,,,
02303621000C,CLARK,-87.564916,39.432436,571,Oil and Gas Test,Electric Log,356,4,,,215,1.5,61,,19,3.5
02303630000C,CLARK,-87.91196,39.233181,566,Oil and Gas Test,Nuclear Log,432,4,392,3,360,,250,,224,4.5
02303643000C,CLARK,-87.696026,39.411021,639,Oil and Gas Test,Electric Log,149,3,17,2,-3,3,-142,,-181,3.5
02303657000C,CLARK,-87.662418,39.20043,470,Oil and Gas Test,Electric Log,92,2,43,,5,1.5,-168,,-216,3.5
02303688000C,CLARK,-87.646275,39.392185,586,Oil and Gas Test,Nuclear Log,193,3,64,1.5,39,3,-106,,-125,4
02323723000C,CLARK,-87.791716,39.222799,588,Oil and Gas Test,Nuclear Log,46,2.5,-8,2.5,-51,2.5,-192,,-228,6
02323727000C,CLARK,-87.9366,39.427897,644,Oil and Gas Test,Electric Log,533,2,441,1.5,421,1.5,339,,,
02323736000C,CLARK,-87.950089,39.177734,567,Producer-Oil and Gas,Electric Log,228,2,191,2,143.5,2.5,15,,-23,4
02323769000C,CLARK,-87.806503,39.298966,616,Oil and Gas Test,Electric Log,88,3.5,33,,2,3.5,,,,
02323830000C,CLARK,-87.971816,39.308096,636,Coal Test,Drillers Log,462,2.3,,,,,,,199,4
02323837000C,CLARK,-87.940434,39.316047,629,Oil and Gas Test,Nuclear Log,416,3.5,364,2,340,2,237,,213,4
02323839000C,CLARK,-87.834902,39.388362,680,Oil and Gas Test,Electric Log,216,,,,78,,,,-46,
